EstablecimientoGlosa;RegionGlosa;TipoEstablecimientoGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaGlosa;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
Policlínico Instituto de Seguridad del Trabajo de Castro;Región De Los Lagos;Centro de Salud Privado;Privado;Secundario;Castro;;NO;No Aplica;-42.480412;-73.76217;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico de la Mutual de Seguridad Cchc Castro;Región De Los Lagos;Centro de Salud Privado;Privado;Secundario;Castro;;NO;No Aplica;-42.477619;-73.765054;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Chiloé;Región De Los Lagos;Laboratorio Clínico;Privado;No Aplica;Castro;;NO;No Aplica;-42.477497;-73.768092;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Hospital de Castro;Región De Los Lagos;Hospital;Servicio de Salud;Terciario;Castro;;SI;Urgencia Hospitalaria (UEH);-42.477043;-73.76933;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Familiar Dr. René Tapia Salgado;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Castro;;NO;No Aplica;-42.47437;-73.77202;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital Comunitario de Achao;Región De Los Lagos;Hospital;Servicio de Salud;Primario;Quinchao;;SI;Urgencia Hospitalaria (UEH);-42.46956;-73.4946;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Centro Comunitario de Salud Familiar Kintunien;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Castro;;NO;No Aplica;-42.46459;-73.77779;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Quillahue;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Castro;27-12-2013;NO;No Aplica;-42.46066;-73.79259;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAR Castro;Región De Los Lagos;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Castro;16-01-2014;SI;Urgencia Ambulatoria (SAR);-42.460482;-73.792562;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Isla Quenac;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quinchao;;NO;No Aplica;-42.458186;-73.331314;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Curaco de Vélez;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Curaco de Vélez;;NO;No Aplica;-42.43967;-73.60028;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SUR Curaco de Vélez;Región De Los Lagos;Servicio de Urgencia Rural (SUR);Municipal;Primario;Curaco de Vélez;10-02-2020;SI;Urgencia Ambulatoria (SUR);-42.43967;-73.600279;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Llau Llao;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Castro;;NO;No Aplica;-42.43555;-73.76907;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Isla Llingua;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quinchao;;NO;No Aplica;-42.432643;-73.45283;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Isla Meulín;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Quinchao;;NO;No Aplica;-42.416416;-73.299654;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Palqui;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Curaco de Vélez;;NO;No Aplica;-42.40884;-73.52866;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Pid - Pid;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Castro;;NO;No Aplica;-42.40386;-73.7741;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Huyar Alto;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Curaco de Vélez;;NO;No Aplica;-42.40249;-73.56671;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Buill;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Chaitén;;NO;No Aplica;-42.40182;-72.71769;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Isla Lin-lin;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quinchao;;NO;No Aplica;-42.3883;-73.43407;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Tac;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;;NO;No Aplica;-42.38676;-73.13622;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Dalcahue;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.37922;-73.65206;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Mocopulli;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.35281;-73.70994;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Quetalco;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.31899;-73.5562;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Calén;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.32826;-73.4599;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar de Ayacara;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Chaitén;;NO;No Aplica;-42.31861;-72.78786;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Tenaún;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.31577;-73.3866;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Mechuque;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;;NO;No Aplica;-42.315142;-73.26871;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Voigue;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;;NO;No Aplica;-42.301222;-73.218194;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Metahue;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Quemchi;;NO;No Aplica;-42.299393;-73.127329;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Puchaurán;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.27252;-73.5208;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Quicaví;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;;NO;No Aplica;-42.26747;-73.35307;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Montemar;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;;NO;No Aplica;-42.25959;-73.42806;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Butalcura;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Dalcahue;;NO;No Aplica;-42.25369;-73.70632;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Hueque;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Chaitén;;NO;No Aplica;-42.24919;-72.73722;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Quinterquén;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;01-01-1985;NO;No Aplica;-42.16837;-73.39694;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Quemchi;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Quemchi;25-05-2015;NO;No Aplica;-42.1372908;-73.47450366;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SUR Quemchi;Región De Los Lagos;Servicio de Urgencia Rural (SUR);Municipal;Primario;Quemchi;;SI;Urgencia Ambulatoria (SUR);-42.145307;-73.478935;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Puntra Degañ;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Ancud;08-02-2018;NO;No Aplica;-42.14442;-73.71907;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Morrolobos;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;01-01-1985;NO;No Aplica;-42.126726;-73.389938;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Paso El Bolsón O Segundo Corral;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Cochamó;;NO;No Aplica;-42.076207;-71.864474;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Lliuco (Quemchi);Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Quemchi;;NO;No Aplica;-42.03023;-73.47273;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Coipomo;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-42.02493;-73.90644;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Hualaihué;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Servicio de Salud;Primario;Hualaihué;;NO;No Aplica;-42.02333;-72.68656;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chauchil;Región De Los Lagos;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Hualaihué;24-10-2014;NO;No Aplica;-41.973619;-72.799798;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Linao;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-41.96799;-73.55729;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Río Negro Hornopirén;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Servicio de Salud;Primario;Hualaihué;;NO;No Aplica;-41.96271;-72.4689;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Rolecha;Región De Los Lagos;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Hualaihué;;NO;No Aplica;-41.92205;-72.84755;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Tabón;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.90305;-73.10675;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Manao;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-41.88341;-73.52349;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Pudeto Bajo;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Ancud;;NO;No Aplica;-41.87915;-73.79683;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Queullín;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.87726;-72.90345;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Bellavista;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Ancud;;NO;No Aplica;-41.87671;-73.82486;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Aulén;Región De Los Lagos;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Hualaihué;;NO;No Aplica;-41.87667;-72.80968;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Llanada Grande;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Cochamó;;NO;No Aplica;-41.871571;-71.938716;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Quetalmahue;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Ancud;;NO;No Aplica;-41.85771;-73.95631;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Policlínico de la Achs Ancud;Región De Los Lagos;Centro de Salud Privado;Privado;Secundario;Ancud;;NO;No Aplica;-41.870191;-73.807939;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico Bionet S.A. - Ancud;Región De Los Lagos;Laboratorio Clínico;Privado;No Aplica;Ancud;22-06-2012;NO;No Aplica;-41.869578;-73.825343;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Policlínico Instituto de Seguridad del Trabajo de Ancud;Región De Los Lagos;Centro de Salud Privado;Privado;Secundario;Ancud;;NO;No Aplica;-41.868452;-73.827065;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Vacunatorio Rosalía Muñoz;Región De Los Lagos;Vacunatorio;Privado;Primario;Ancud;;NO;No Aplica;-41.868416;-73.825854;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Laboratorio Clínico y Hematológico Ancud;Región De Los Lagos;Laboratorio Clínico;Privado;No Aplica;Ancud;11-11-2003;NO;No Aplica;-41.86839;-73.825837;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Centro de Salud Familiar Dr. Manuel Ferreira Guzman;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Ancud;;NO;No Aplica;-41.8668;-73.81661;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SAR ANCUD;Región De Los Lagos;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Municipal;Primario;Ancud;31-05-2021;SI;Urgencia Ambulatoria (SAR);-41.866796;-73.816608;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital de Ancud;Región De Los Lagos;Hospital;Servicio de Salud;Terciario;Ancud;;SI;Urgencia Hospitalaria (UEH);-41.86523;-73.823832;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-hospitalaria
Laboratorio Clínico y Hematológico San José;Región De Los Lagos;Laboratorio Clínico;Privado;No Aplica;Ancud;28-06-1996;NO;No Aplica;-41.864178;-73.827893;Privado;Vigente en Operación Habitual;No Aplica;No Aplica
Policlínico de la Mutual de Seguridad Cchc Ancud;Región De Los Lagos;Centro de Salud Privado;Privado;Secundario;Ancud;10-11-1998;NO;No Aplica;-41.863985;-73.827889;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Pergue;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.85727;-72.99501;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chacao;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-41.82912;-73.5274;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
SUR Chacao;Región De Los Lagos;Servicio de Urgencia Rural (SUR);Municipal;Primario;Ancud;;SI;Urgencia Ambulatoria (SUR);-41.828651;-73.52584;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Caulín;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-41.82633;-73.62745;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Guabún;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-41.821503;-74.035007;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Nal;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Ancud;;NO;No Aplica;-41.82074;-73.92855;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chope;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.81862;-73.07502;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chauquear;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.80955;-73.0475;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Contao;Región De Los Lagos;Posta de Salud Rural (PSR);Servicio de Salud;Primario;Hualaihué;;NO;No Aplica;-41.80106;-72.72146;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Chayahue;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.79575;-73.35745;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Pargua;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.79082;-73.46029;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Machil;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.77628;-73.06639;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Aguantao;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.77436;-73.28952;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural San Antonio (Calbuco);Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.775149;-73.23275;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital de Calbuco;Región De Los Lagos;Hospital;Servicio de Salud;Pendiente;Calbuco;;SI;Urgencia Hospitalaria (UEH);-41.76982;-73.13317;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Centro de Salud Familiar Calbuco;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Calbuco;;NO;No Aplica;-41.7697;-73.12936;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro Comunitario de Salud Familiar Texas;Región De Los Lagos;Centro Comunitario de Salud Familiar (CECOSF);Municipal;Primario;Calbuco;;NO;No Aplica;-41.761311;-73.155666;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Astillero;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Maullín;;NO;No Aplica;-41.753716;-73.576362;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Avellanal;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.75462;-73.40803;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural San Ramón (Calbuco);Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.74255;-73.05976;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Carelmapu;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Maullín;25-11-2011;NO;No Aplica;-41.74115;-73.70161;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Peñasmo;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.74026;-73.2642;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Valle El Frío;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Cochamó;;NO;No Aplica;-41.741623;-71.902605;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Llaguepe;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Cochamó;;NO;No Aplica;-41.72217;-72.48408;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural San Agustín (Calbuco);Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.718646;-73.064838;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Huayún;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.70958;-73.2428;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Quetrulauquén;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.67792;-72.93758;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Huelmo;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.673588;-73.062598;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Huar;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.67092;-72.98943;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Putenio;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Calbuco;;NO;No Aplica;-41.66841;-73.13453;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Centro de Salud Familiar Cochamó;Región De Los Lagos;Centro de Salud Familiar (CESFAM);Municipal;Primario;Cochamó;27-12-2017;NO;No Aplica;-41.6641;-72.2958;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Sotomó;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Cochamó;;NO;No Aplica;-41.672807;-72.428896;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Hospital de Maullín;Región De Los Lagos;Hospital;Servicio de Salud;Pendiente;Maullín;;SI;Urgencia Hospitalaria (UEH);-41.61685;-73.59847;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Cerrada-hospitalaria
Posta de Salud Rural Chaicas;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.627726;-72.664982;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Peñol;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Maullín;;NO;No Aplica;-41.627007;-73.419352;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Lenca;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.604833;-72.689152;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural la Pasada;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Maullín;;NO;No Aplica;-41.60262;-73.59368;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Maillén;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.583222;-73.000013;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Panitao;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.57239;-73.09358;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Quenuir;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Maullín;;NO;No Aplica;-41.5635;-73.67628;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Salto Grande;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.53795;-73.27688;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Misquihue;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Maullín;;NO;No Aplica;-41.540984;-73.390024;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Trapén;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.52901;-73.12314;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Piedra Azul;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Puerto Montt;;NO;No Aplica;-41.50826;-72.78969;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Cumbre Alta;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Los Muermos;;NO;No Aplica;-41.502657;-73.608352;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Paso El León;Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Cochamó;;NO;No Aplica;-41.503958;-71.85773;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
Posta de Salud Rural Quillagua (los Muermos);Región De Los Lagos;Posta de Salud Rural (PSR);Municipal;Primario;Los Muermos;;NO;No Aplica;-41.482211;-73.747775;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-ambulatoria
